Wall time,Step,Value
1679984025.8423471,0,0.0036057692486792803
1679984151.9946184,50,0.0807291641831398
1679984361.176786,100,0.26171875
1679984647.180821,150,0.45522835850715637
1679984912.154045,200,0.5417668223381042
1679985190.2761683,250,0.5883413553237915
1679985472.493335,300,0.6154847741127014
1679985740.8606787,350,0.6402243375778198
1679986016.7781641,400,0.6507411599159241
1679986274.992898,450,0.6625601053237915
1679986563.4421258,500,0.6697716116905212
1679986818.7331913,550,0.6742788553237915
1679987102.770723,600,0.6846955418586731
1679987377.6822603,650,0.6871995329856873
1679987659.5007696,700,0.6910055875778198
1679987947.1646988,750,0.6878004670143127
1679988220.1489198,800,0.6954126358032227
1679988504.430255,850,0.6864984035491943
1679988765.6493099,900,0.6970152258872986
1679989052.7937546,950,0.6850961446762085
1679989319.9389036,1000,0.6919070482254028
1679989609.5709484,1050,0.6982171535491943
1679989872.4211159,1100,0.6946113705635071
1679990149.891264,1150,0.6875
1679990428.031937,1200,0.6938101053237915
1679990707.4726412,1250,0.6824919581413269
1679990991.855085,1300,0.6947115659713745
1679991252.7623355,1350,0.6911057829856873
1679991532.6108541,1400,0.6889022588729858
1679991790.161132,1450,0.6851963400840759
1679992073.5572093,1500,0.6891025900840759
1679992337.8093035,1550,0.6858974099159241
1679992625.675213,1600,0.6851963400840759
1679992902.869144,1650,0.6846955418586731
1679993181.3304617,1700,0.6869992017745972
1679993460.737691,1750,0.68359375
1679993721.1173065,1800,0.6848958134651184
1679994005.711985,1850,0.6868990659713745
1679994267.968925,1900,0.6867988705635071
1679994556.1848264,1950,0.6856971383094788
1679994821.500006,2000,0.6831930875778198
1679995105.267353,2050,0.684495210647583
1679995387.3838503,2100,0.6834936141967773
1679995668.1978006,2150,0.6823918223381042
1679995951.997769,2200,0.6825921535491943
1679996214.9017406,2250,0.6789863705635071
1679996503.1201243,2300,0.6829928159713745
1679996767.9485478,2350,0.6830929517745972
1679997052.8502471,2400,0.6822916865348816
1679997317.0289946,2450,0.6834936141967773
1679997601.7033901,2500,0.68359375
1679997870.8994424,2550,0.6840945482254028
1679998162.7742856,2600,0.6827924847602844
1679998443.9030976,2650,0.6847956776618958
1679998735.0762293,2700,0.6845953464508057
1679999017.3987699,2750,0.6823918223381042
1679999289.6552505,2800,0.6837940812110901
1679999569.1303358,2850,0.682692289352417
1679999827.5139937,2900,0.6833934187889099
1680000110.5361254,2950,0.6839944124221802
1680000379.5224998,3000,0.68359375
1680000672.1540928,3050,0.6834936141967773
1680000943.6310785,3100,0.6818910241127014
1680001228.4087012,3150,0.6814903616905212
1680001512.9047623,3200,0.6831930875778198
1680001797.0824056,3250,0.6828926205635071
1680002083.8211884,3300,0.6842948794364929
1680002353.347188,3350,0.6830929517745972
1680002638.677225,3400,0.6842948794364929
1680002900.6822276,3450,0.6825921535491943
1680003185.2525723,3500,0.6828926205635071
1680003447.9021943,3550,0.6817908883094788
1680003731.6613789,3600,0.6829928159713745
1680003996.6119058,3650,0.6843950152397156
1680004287.0659795,3700,0.6838942170143127
1680004568.6369607,3750,0.6834936141967773
1680004856.585764,3800,0.6830929517745972
1680005138.669455,3850,0.680588960647583
1680005404.838374,3900,0.6847956776618958
1680005691.817664,3950,0.6829928159713745
1680005954.2813182,4000,0.682692289352417
1680006240.253426,4050,0.6830929517745972
1680006505.783888,4100,0.6829928159713745
1680006793.5688283,4150,0.6822916865348816
1680007053.9028795,4200,0.6807892918586731
1680007336.8608882,4250,0.6822916865348816
1680007609.884576,4300,0.6834936141967773
1680007878.12171,4350,0.6812900900840759
1680008154.0858073,4400,0.6838942170143127
1680008420.919737,4450,0.6827924847602844
1680008704.8189676,4500,0.6841946840286255
1680008960.1070602,4550,0.6823918223381042
1680009236.4238446,4600,0.682692289352417
1680009517.7696111,4650,0.6809895634651184
1680009797.6032991,4700,0.6811898946762085
1680010079.6302521,4750,0.6814903616905212
1680010350.6294677,4800,0.6840945482254028
1680010635.1696994,4850,0.6827924847602844
1680010905.7003956,4900,0.6811898946762085
1680011189.7453775,4950,0.6824919581413269
1680011456.3006103,5000,0.6814903616905212
1680011746.2483919,5050,0.6825921535491943
1680012010.1962028,5100,0.682692289352417
1680012295.4735677,5150,0.6824919581413269
1680012567.6620295,5200,0.6827924847602844
1680012851.788707,5250,0.6823918223381042
1680013135.4616709,5300,0.6817908883094788
1680013399.8006437,5350,0.6845953464508057
1680013685.3595998,5400,0.6817908883094788
1680013947.8836944,5450,0.6830929517745972
1680014233.7197356,5500,0.6820913553237915
1680014497.2373865,5550,0.6821914911270142
1680014781.0558052,5600,0.6839944124221802
1680015056.0352101,5650,0.6810897588729858
1680015340.3401365,5700,0.6825921535491943
1680015621.940247,5750,0.6822916865348816
1680015896.978492,5800,0.6833934187889099
1680016183.8002532,5850,0.6836938858032227
1680016447.8000333,5900,0.6817908883094788
1680016732.5952501,5950,0.6831930875778198
