Wall time,Step,Value
1682055654.468765,0,0.09985977411270142
1682056256.8823962,50,0.10046073794364929
1682056862.972124,100,0.23056891560554504
1682057477.619247,150,0.28225159645080566
1682058077.7889206,200,0.33012819290161133
1682058694.2749677,250,0.34975960850715637
1682059310.5289762,300,0.37790465354919434
1682059923.6716626,350,0.41205930709838867
1682060510.0152497,400,0.43719953298568726
1682061100.6433303,450,0.45212340354919434
1682061689.7647035,500,0.4810697138309479
1682062292.6403537,550,0.5019030570983887
1682062881.0199049,600,0.5286458134651184
1682063470.3802135,650,0.5368589758872986
1682064065.370288,700,0.5606971383094788
1682064650.8646219,750,0.5764222741127014
1682065242.1357703,800,0.5993589758872986
1682065841.9617596,850,0.6044671535491943
1682066435.5466838,900,0.6348156929016113
1682067031.9717724,950,0.6453325152397156
1682067615.3222015,1000,0.6721754670143127
1682068207.5175276,1050,0.6806890964508057
1682068799.0292385,1100,0.6935096383094788
1682069386.548116,1150,0.7047275900840759
1682069972.9035542,1200,0.7284655570983887
1682070567.535917,1250,0.7347756624221802
1682071151.794279,1300,0.7461938858032227
1682071752.6718056,1350,0.7661257982254028
1682072344.5053425,1400,0.7845553159713745
1682072931.4061298,1450,0.7922676205635071
1682073538.9991207,1500,0.8059895634651184
1682074132.8954225,1550,0.8036859035491943
1682074724.307916,1600,0.8073918223381042
1682075324.9008913,1650,0.8062900900840759
1682075935.1129618,1700,0.8236178159713745
1682076539.9781337,1750,0.80078125
1682077143.1068916,1800,0.8243188858032227
1682077728.5163105,1850,0.7875601053237915
1682078315.2208285,1900,0.8284254670143127
1682078935.3279579,1950,0.8276242017745972
1682079524.6879058,2000,0.8052884340286255
1682080133.205291,2050,0.8273237347602844
1682080729.5373392,2100,0.8274238705635071
1682081314.3825562,2150,0.8258213400840759
1682081905.931816,2200,0.8283253312110901
1682082491.93686,2250,0.8265224099159241
1682083091.4378285,2300,0.8256210088729858
1682083702.0452833,2350,0.8264222741127014
1682084298.2985795,2400,0.8264222741127014
1682084904.4747028,2450,0.8294270634651184
1682085349.211593,2500,0.8292267918586731
1682085745.8787158,2550,0.8301281929016113
1682086158.9551165,2600,0.8300280570983887
1682086553.6694462,2650,0.8291265964508057
1682086957.6588304,2700,0.8285256624221802
1682087362.2726052,2750,0.8292267918586731
1682087758.5889735,2800,0.8292267918586731
1682088172.7845702,2850,0.8296273946762085
1682088581.909252,2900,0.8285256624221802
1682088977.5420163,2950,0.8295272588729858
1682089378.2434115,3000,0.8298277258872986
1682089783.4499528,3050,0.8292267918586731
1682090181.6357007,3100,0.829026460647583
1682090590.7458503,3150,0.8288261294364929
1682090986.3108902,3200,0.8294270634651184
1682091381.2512364,3250,0.8286257982254028
1682091782.5645065,3300,0.8297275900840759
1682092191.9255612,3350,0.8287259340286255
1682092605.709505,3400,0.8286257982254028
1682093004.5790408,3450,0.8284254670143127
1682093412.7970665,3500,0.8280248641967773
1682093816.3517747,3550,0.8280248641967773
1682094218.956933,3600,0.8283253312110901
1682094627.2948434,3650,0.8285256624221802
1682095021.956398,3700,0.8287259340286255
1682095423.6769416,3750,0.828125
1682095818.9377553,3800,0.8286257982254028
1682096214.1666112,3850,0.8277243375778198
1682096625.4458756,3900,0.8282251358032227
1682097038.1947205,3950,0.8282251358032227
1682097449.969425,4000,0.8286257982254028
1682097845.6102424,4050,0.8278245329856873
1682098255.833031,4100,0.8285256624221802
1682098660.889247,4150,0.828125
1682099059.0992808,4200,0.8285256624221802
1682099473.1905916,4250,0.8278245329856873
1682099876.6964056,4300,0.8285256624221802
1682100287.6865995,4350,0.8286257982254028
1682100682.5275207,4400,0.8287259340286255
1682101093.1420267,4450,0.8289262652397156
1682101489.9757857,4500,0.8287259340286255
1682101901.2265573,4550,0.8280248641967773
1682102301.7971456,4600,0.8291265964508057
1682102713.518608,4650,0.8288261294364929
1682103108.3187582,4700,0.829026460647583
1682103514.17683,4750,0.8278245329856873
1682103925.8078845,4800,0.829026460647583
1682104321.0118408,4850,0.8289262652397156
1682104721.7627623,4900,0.8282251358032227
1682105120.6168044,4950,0.828125
1682105515.3519146,5000,0.8287259340286255
1682105910.0196428,5050,0.8280248641967773
1682106313.0313194,5100,0.8287259340286255
1682106723.8494027,5150,0.8291265964508057
1682107143.5734057,5200,0.8283253312110901
1682107567.5808728,5250,0.8289262652397156
1682107966.6589348,5300,0.8277243375778198
1682108382.0684302,5350,0.8283253312110901
1682108781.1488101,5400,0.8285256624221802
1682109178.5453477,5450,0.8287259340286255
1682109595.4267,5500,0.8283253312110901
1682109994.7071714,5550,0.8285256624221802
1682110418.4730625,5600,0.828125
1682110815.757508,5650,0.8284254670143127
1682111212.803379,5700,0.8284254670143127
1682111611.0762115,5750,0.8292267918586731
1682112039.656526,5800,0.8286257982254028
1682112465.6597035,5850,0.8278245329856873
1682112876.7211313,5900,0.8285256624221802
1682113298.8844824,5950,0.8283253312110901
